row_id,bir,ki,bu,nə,aşıq,ey,hər,ilə,kim,mən,o,i,də,ol,ələsgər,kimi,sən,var,oldu,da,çox,mənim,məni,gün,dedi,can,tək,idi,mənə,olur
126,2,0,0,0,0,3,1,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0
127,2,1,2,0,0,2,2,2,4,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
128,1,0,0,1,0,0,0,1,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,2,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
130,0,2,1,1,0,3,2,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
131,1,1,0,0,0,2,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,3,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,2,3,1,2,0,1,0,0,2,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
134,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
135,1,1,1,0,0,1,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,1,4,0,0,0,2,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
137,2,3,1,0,0,2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
138,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
139,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
140,1,1,0,0,0,1,2,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2
141,4,0,2,5,0,2,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1
142,1,1,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,3,0,0,1,0,0,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
144,1,1,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
146,3,0,2,1,0,3,0,0,2,1,0,0,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
